,SPRING1,SPRING2,type,Neutrophil PT
1028,-887.134,-1966.851,Baso,-1.0
1030,-961.862,-1932.532,Baso,-1.0
1031,604.336,-579.475,Undifferentiated,35829.0
1036,2724.088,-96.891,Monocyte,-1.0
1037,2301.506,-98.686,Monocyte,-1.0
1044,-527.972,-73.703,Undifferentiated,-1.0
1045,-907.225,-752.413,Baso,-1.0
1047,1497.462,-446.789,Monocyte,-1.0
1050,-1806.99,-930.275,Mast,-1.0
1052,1439.86,-2159.0,Neutrophil,50510.0
1054,1745.553,-2157.65,Neutrophil,52501.0
1055,2343.981,-324.944,Monocyte,-1.0
1058,644.439,-865.525,Neutrophil,39665.0
1059,1884.743,-326.098,Monocyte,-1.0
1060,646.293,-1277.381,Neutrophil,43006.0
1061,1259.273,-659.919,Undifferentiated,-1.0
1063,479.311,-169.766,Undifferentiated,25458.0
1064,-994.825,-1837.221,Baso,-1.0
1065,805.065,-1695.477,Neutrophil,46367.0
1066,673.294,-702.479,Undifferentiated,37792.0
1068,532.381,-514.78,Undifferentiated,33707.0
1073,425.558,-33.151,Undifferentiated,23287.0
1074,647.811,-1145.319,Neutrophil,40290.0
1076,905.366,-1779.415,Neutrophil,47077.0
1077,-1028.351,-1997.916,Baso,-1.0
1078,-885.197,-1999.151,Baso,-1.0
1085,537.367,-625.295,Undifferentiated,37753.0
1086,732.991,-1543.561,Neutrophil,44589.0
1087,-1073.049,17.866,Undifferentiated,-1.0
1088,718.616,-487.698,Undifferentiated,34208.0
1090,2931.359,297.769,Monocyte,-1.0
1092,179.095,414.632,Undifferentiated,14582.0
1093,1165.505,-1881.836,Neutrophil,48169.0
1099,395.197,-154.059,Undifferentiated,26572.0
1100,579.512,-690.095,Undifferentiated,35071.0
1101,620.55,-1187.336,Neutrophil,41562.0
1103,1683.061,-471.448,Monocyte,-1.0
1104,2391.207,-140.511,Monocyte,-1.0
1105,2718.315,-52.886,Monocyte,-1.0
1107,-1226.092,270.917,Erythroid,-1.0
1108,-901.313,-1782.864,Baso,-1.0
1109,2403.981,-2015.867,Neutrophil,57628.0
1113,599.815,-721.059,Undifferentiated,34214.0
1114,558.789,-879.853,Undifferentiated,36249.0
1115,498.145,-263.838,Undifferentiated,28379.0
1116,460.882,-176.291,Undifferentiated,26791.0
1117,2134.35,-305.121,Monocyte,-1.0
1121,1063.981,901.447,Undifferentiated,-1.0
1128,-1060.402,-42.9,Undifferentiated,-1.0
1129,-434.61,-141.096,Undifferentiated,-1.0
1131,-1959.938,848.157,Meg,-1.0
1133,2636.34,331.612,Monocyte,-1.0
1135,2513.875,-104.929,Monocyte,-1.0
1139,2674.634,-81.178,Monocyte,-1.0
1142,590.735,-660.937,Undifferentiated,33079.0
1143,1842.955,-346.357,Monocyte,-1.0
1144,1288.481,841.246,Undifferentiated,-1.0
1146,583.583,403.855,Undifferentiated,-1.0
1148,-881.576,-1943.127,Baso,-1.0
1150,860.754,-1701.243,Neutrophil,46648.0
1151,1354.502,-2172.253,Neutrophil,49896.0
1154,847.702,-706.027,Undifferentiated,-1.0
1156,621.558,-1183.217,Neutrophil,40680.0
1158,1363.111,-2113.91,Neutrophil,49482.0
1160,1126.579,-1966.232,Neutrophil,48229.0
1161,2222.559,-596.427,Undifferentiated,-1.0
1162,-913.831,-1945.225,Baso,-1.0
1164,-1197.554,274.112,Undifferentiated,-1.0
1168,549.329,-712.628,Undifferentiated,38000.0
1169,761.268,123.251,Undifferentiated,-1.0
1172,1220.21,-2100.563,Neutrophil,48768.0
