,Estimator,Sample number,True MI,Estimate,Ambient dimensions,Intrinsic dimensions
1504,InfoNCE,6000,1,0.9518228467269385,13,1
1505,LMI,6000,1,0.9708475991484118,13,1
1506,MINE,6000,1,0.8986667069722379,13,1
1507,KSG,6000,1,0.5049151022779179,13,1
1508,InfoNCE,6000,1,0.8095044514155505,25,2
1509,LMI,6000,1,0.9052091786547386,25,2
1510,MINE,6000,1,0.83668682533237,25,2
1511,KSG,6000,1,0.3237520507693354,25,2
1512,InfoNCE,6000,1,0.7923914897240977,37,3
1513,LMI,6000,1,0.8322188433318517,37,3
1514,MINE,6000,1,0.7197133412959833,37,3
1515,KSG,6000,1,0.21188125355251705,37,3
1516,InfoNCE,6000,1,0.7133578944159991,50,5
1517,LMI,6000,1,0.6694070578782322,50,5
1518,MINE,6000,1,0.6637835513394927,50,5
1519,KSG,6000,1,0.18641790403399855,50,5
1520,InfoNCE,7000,1,1.0010546003629262,1,1
1521,LMI,7000,1,1.024400428269492,1,1
1522,MINE,7000,1,0.9707883195421602,1,1
1523,KSG,7000,1,0.9816753824291302,1,1
1524,InfoNCE,7000,1,0.9167968600522188,13,1
1525,LMI,7000,1,0.9518644108721525,13,1
1526,MINE,7000,1,0.88279159041037,13,1
1527,KSG,7000,1,0.49355009580567494,13,1
1528,InfoNCE,7000,1,0.8987503765318826,25,2
1529,LMI,7000,1,0.9440004636724726,25,2
1530,MINE,7000,1,0.8425669121653695,25,2
1531,KSG,7000,1,0.3662133416994265,25,2
1532,InfoNCE,7000,1,0.7927237602055646,37,3
1533,LMI,7000,1,0.8483245627137808,37,3
1534,MINE,7000,1,0.8705842618521279,37,3
1535,KSG,7000,1,0.23385793965048504,37,3
1536,InfoNCE,7000,1,0.7203190641923222,50,5
1537,LMI,7000,1,0.6468237520302884,50,5
1538,MINE,7000,1,0.6957269209801474,50,5
1539,KSG,7000,1,0.22651714287137636,50,5
1540,InfoNCE,8000,1,0.9650304263825987,1,1
1541,LMI,8000,1,1.0036008842576154,1,1
1542,MINE,8000,1,0.9675897862014137,1,1
