,Exclusive dimensions,Distribution,Estimate,Estimator
43,0,Gaussian mixture,0.5965226240598203,LMI-MINE
44,0,Gaussian mixture,0.6118274068232372,LMI-InfoNCE
45,0,Gaussian mixture,0.6656872273018932,MINE
46,0,Gaussian mixture,0.5958098163430797,InfoNCE
47,0,Gaussian mixture,0.6218544291883401,KSG
48,0,Circle,0.7505789854408623,LMI
49,0,Circle,0.7138505448069971,LMI-MINE
50,0,Circle,0.6270229902895823,LMI-InfoNCE
51,0,Circle,0.8053423852733451,MINE
52,0,Circle,0.640496412482065,InfoNCE
53,0,Circle,0.7803477166729262,KSG
54,0,Gaussian mixture,0.7170043411720703,LMI
55,0,Gaussian mixture,0.5499199388792884,LMI-MINE
56,0,Gaussian mixture,0.543631485315486,LMI-InfoNCE
57,0,Gaussian mixture,0.544337988679604,MINE
58,0,Gaussian mixture,0.5357066953807523,InfoNCE
59,0,Gaussian mixture,0.5778720884550821,KSG
60,1,Circle,0.01344793439106195,LMI
61,1,Circle,0.6047707006096285,LMI-MINE
62,1,Circle,0.21045332444619883,LMI-InfoNCE
63,1,Circle,0.5777896461683255,MINE
64,1,Circle,0.423095207318199,InfoNCE
65,1,Circle,0.5590100179833806,KSG
66,1,Gaussian mixture,0.09304581095533898,LMI
67,1,Gaussian mixture,0.5744290835263935,LMI-MINE
68,1,Gaussian mixture,0.3925830387183906,LMI-InfoNCE
69,1,Gaussian mixture,0.4271556317137445,MINE
70,1,Gaussian mixture,0.31437327888755895,InfoNCE
71,1,Gaussian mixture,0.5347373286410103,KSG
72,1,Circle,0.03096868289574719,LMI
73,1,Circle,0.5880529549286226,LMI-MINE
74,1,Circle,-0.044279161542319805,LMI-InfoNCE
75,1,Circle,0.566638291086381,MINE
76,1,Circle,0.31530886450825263,InfoNCE
77,1,Circle,0.5799096305317707,KSG
78,1,Gaussian mixture,0.1004927840281589,LMI
79,1,Gaussian mixture,0.5085244135252577,LMI-MINE
80,1,Gaussian mixture,0.4691628603435799,LMI-InfoNCE
81,1,Gaussian mixture,0.3482167988462713,MINE
82,1,Gaussian mixture,0.19559999640989298,InfoNCE
83,1,Gaussian mixture,0.5030877566135975,KSG
84,1,Circle,-0.06198674082969845,LMI
85,1,Circle,0.39205009199317703,LMI-MINE
86,1,Circle,0.6367299284309199,LMI-InfoNCE
87,1,Circle,0.5608496990236406,MINE
88,1,Circle,0.469950848649866,InfoNCE
89,1,Circle,0.5412201486385791,KSG
90,1,Gaussian mixture,0.12632296888490238,LMI
91,1,Gaussian mixture,0.09459870720936471,LMI-MINE
92,1,Gaussian mixture,0.36922646753873056,LMI-InfoNCE
93,1,Gaussian mixture,0.43071988616155077,MINE
94,1,Gaussian mixture,0.20202733203793785,InfoNCE
95,1,Gaussian mixture,0.4122774986953582,KSG
96,1,Circle,0.10566401884703439,LMI
97,1,Circle,0.29791441746088787,LMI-MINE
98,1,Circle,0.0792398480504544,LMI-InfoNCE
99,1,Circle,0.5308284074890287,MINE
100,1,Circle,0.5012083514788798,InfoNCE
101,1,Circle,0.5674757653369958,KSG
102,1,Gaussian mixture,0.27939708230408977,LMI
103,1,Gaussian mixture,0.2641490523834975,LMI-MINE
