,True MI,Ambient dimensions,Intrinsic dimensions,Estimator,Estimate,Transformation
391,1.0,1000,2,LMI,0.7220647207172883,Asinh
392,1.5,1000,2,InfoNCE,0.0,Asinh
393,1.5,1000,2,MINE,0.0,Asinh
394,1.5,1000,2,KSG,0.0655669275168762,Asinh
395,1.5,1000,2,LMI,1.2090637058193254,Asinh
396,2.0,1000,2,InfoNCE,0.0,Asinh
397,2.0,1000,2,MINE,0.0,Asinh
398,2.0,1000,2,KSG,0.026352081265618336,Asinh
399,2.0,1000,2,LMI,1.5295619310653865,Asinh
400,0.0,1000,3,InfoNCE,2.0637918103537038e-06,Asinh
401,0.0,1000,3,MINE,0.0,Asinh
402,0.0,1000,3,KSG,-0.014938969637020915,Asinh
403,0.0,1000,3,LMI,0.0898788968335619,Asinh
404,0.5,1000,3,InfoNCE,0.0,Asinh
405,0.5,1000,3,MINE,5.159479525884259e-07,Asinh
406,0.5,1000,3,KSG,0.005174575988291798,Asinh
407,0.5,1000,3,LMI,0.4059871628350776,Asinh
408,1.0,1000,3,InfoNCE,0.0,Asinh
409,1.0,1000,3,MINE,0.0,Asinh
410,1.0,1000,3,KSG,0.04862073733366212,Asinh
411,1.0,1000,3,LMI,0.8358794528764563,Asinh
412,1.5,1000,3,InfoNCE,0.0,Asinh
413,1.5,1000,3,MINE,5.159479525884259e-07,Asinh
414,1.5,1000,3,KSG,-0.02727430065640526,Asinh
415,1.5,1000,3,LMI,1.0610716291526852,Asinh
416,2.0,1000,3,InfoNCE,0.009315268301333167,Asinh
417,2.0,1000,3,MINE,0.0,Asinh
418,2.0,1000,3,KSG,0.050032987985607465,Asinh
419,2.0,1000,3,LMI,1.3800440867761454,Asinh
420,0.0,1000,4,InfoNCE,0.0,Asinh
421,0.0,1000,4,MINE,0.0,Asinh
422,0.0,1000,4,KSG,-0.0026081504713200694,Asinh
423,0.0,1000,4,LMI,0.02234164196413266,Asinh
424,0.5,1000,4,InfoNCE,0.0,Asinh
425,0.5,1000,4,MINE,4.299566271570216e-07,Asinh
426,0.5,1000,4,KSG,0.013760557040120545,Asinh
427,0.5,1000,4,LMI,0.31246527801184193,Asinh
428,1.0,1000,4,InfoNCE,1.8574126293183335e-05,Asinh
429,1.0,1000,4,MINE,2.0637918103537038e-06,Asinh
430,1.0,1000,4,KSG,-0.029644793938135024,Asinh
431,1.0,1000,4,LMI,0.7027888235376957,Asinh
432,1.5,1000,4,InfoNCE,0.0,Asinh
433,1.5,1000,4,MINE,0.0,Asinh
434,1.5,1000,4,KSG,-0.014709532468381858,Asinh
435,1.5,1000,4,LMI,1.088531190848808,Asinh
436,2.0,1000,4,InfoNCE,6.94809909485747e-05,Asinh
437,2.0,1000,4,MINE,0.0,Asinh
438,2.0,1000,4,KSG,0.011064929695410397,Asinh
439,2.0,1000,4,LMI,1.3669685363724697,Asinh
440,0.0,1000,5,InfoNCE,1.375861206902469e-06,Asinh
441,0.0,1000,5,MINE,1.7198265086280863e-07,Asinh
442,0.0,1000,5,KSG,0.02567116581856113,Asinh
443,0.0,1000,5,LMI,-0.01532235387268831,Asinh
444,0.5,1000,5,InfoNCE,0.00010869303534529506,Asinh
445,0.5,1000,5,MINE,1.7198265086280863e-07,Asinh
446,0.5,1000,5,KSG,0.054679318422225676,Asinh
447,0.5,1000,5,LMI,0.31448310148972985,Asinh
448,1.0,1000,5,InfoNCE,4.815514224158642e-06,Asinh
449,1.0,1000,5,MINE,2.5797397629421297e-07,Asinh
450,1.0,1000,5,KSG,0.04711241185420048,Asinh
451,1.0,1000,5,LMI,0.7219472364743779,Asinh
452,1.5,1000,5,InfoNCE,0.014405954766872302,Asinh
453,1.5,1000,5,MINE,0.004334822714997091,Asinh
454,1.5,1000,5,KSG,-0.00991197301004826,Asinh
455,1.5,1000,5,LMI,0.9602082047428976,Asinh
456,2.0,1000,5,InfoNCE,0.0,Asinh
457,2.0,1000,5,MINE,0.0,Asinh
458,2.0,1000,5,KSG,-0.039348714260200965,Asinh
459,2.0,1000,5,LMI,1.1575627423989725,Asinh
460,0.0,1000,6,InfoNCE,0.0007388374681066259,Asinh
461,0.0,1000,6,MINE,2.5797397629421297e-07,Asinh
462,0.0,1000,6,KSG,0.06741126422925425,Asinh
463,0.0,1000,6,LMI,-0.040781828527453094,Asinh
